date,vwretd,vwretx
19600930,-0.058713,-0.06092
19601031,-0.001079,-0.002407
19601130,0.046081,0.039977
19601230,0.048839,0.046597
19610131,0.06432,0.063181
19610228,0.032838,0.028612
19610330,0.029345,0.027051
19610428,0.004537,0.003843
19610531,0.023553,0.018924
19610630,-0.026673,-0.028725
19610731,0.033795,0.033119
19610831,0.02473,0.019511
19610929,-0.018674,-0.019877
19611031,0.028175,0.026791
19611130,0.045226,0.039324
19611229,0.004696,0.003465
19620131,-0.037356,-0.038692
19620228,0.020592,0.016147
19620330,-0.003842,-0.005137
19620430,-0.061743,-0.062443
19620531,-0.079847,-0.085499
19620629,-0.080669,-0.082222
19620731,0.065203,0.063969
19620831,0.021669,0.015803
19620928,-0.048816,-0.050259
19621031,0.008313,0.006405
19621130,0.108268,0.100528
19621231,0.015534,0.01404
19630131,0.050367,0.048957
19630228,-0.024189,-0.029164
19630329,0.036581,0.035156
19630430,0.04907,0.048177
19630531,0.019674,0.013844
19630628,-0.018605,-0.019806
19630731,-0.001821,-0.003131
19630830,0.053466,0.048496
19630930,-0.010402,-0.011579
19631031,0.034825,0.03329
19631129,-0.004487,-0.011085
19631231,0.026065,0.024651
19640131,0.027391,0.026373
19640228,0.017015,0.012171
19640331,0.017232,0.015814
19640430,0.006192,0.005297
19640528,0.016815,0.01146
19640630,0.018084,0.016779
19640731,0.01891,0.017953
19640831,-0.011621,-0.016285
19640930,0.030399,0.029022
19641030,0.008745,0.007566
19641130,0.001598,-0.004588
19641231,0.005228,0.003803
19650129,0.034791,0.033837
19650226,0.003746,-0.000853
19650331,-0.012213,-0.013685
19650430,0.035612,0.034769
19650528,-0.003122,-0.008354
19650630,-0.04688,-0.048367
19650730,0.014486,0.013678
19650831,0.02756,0.022473
19650930,0.033366,0.032034
19651029,0.028812,0.027737
19651130,-0.003821,-0.010306
19651231,0.010349,0.009059
19660131,0.005705,0.004874
19660228,-0.01275,-0.017548
19660331,-0.023041,-0.024608
19660429,0.022158,0.02125
